Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250030-València - Pista de Silla
	
FECHA	PM2.5	C8H10	C7H8	C6H6	SO2	CO	NO	NO2	PM10	NOx	O3
	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	20	0,4	0,7	0,5	3	0,3	7	16	34	26	31
02/01/2023	25	1,2	2,3	0,7	3	0,3	20	25	48	55	21
03/01/2023	32	1,9	3,8	0,9	4	0,4	32	29	54	78	17
04/01/2023	24	1,7	4,1	0,8	3	0,3	26	27	42	66	16
05/01/2023	25	1,9	2,9	0,7	3	0,3	24	28	43	65	18
06/01/2023	23	1,3	1,1	0,7	3	0,3	13	22	38	41	22
07/01/2023	16	0,6	0,7	0,5	3	0,3	4	11	33	16	43
08/01/2023	5	0,3	0,6	0,3	3	0,2	2	6	21	10	61
09/01/2023	5	0,7	1,2	0,5	3	0,2	10	20	16	35	41
10/01/2023	9	0,7	2,5	0,5	3	0,3	15	24	20	46	31
11/01/2023	10	1,4	2,4	0,6	3	0,3	13	21	24	41	22
12/01/2023	12	1	1,2	0,6	3	0,3	15	27	29	49	22
13/01/2023	16	2,1	3,5	0,9	3	0,4	32	31	40	79	16
14/01/2023	12	0,5	0,7	0,5	3	0,2	7	15	25	26	31
15/01/2023	10	0,3	0,6	0,3	3	0,2	2	5	39	8	51
16/01/2023	11	0,3	0,6	0,3	3	0,2	3	5	77	9	66
17/01/2023	10	0,3	0,6	0,3	3	0,2	2	5	88	8	81
18/01/2023	3	0,3	0,7	0,3	3	0,2	4	10	12	15	65
19/01/2023	4	0,3	0,6	0,3	3	0,2	3	7	14	12	62
20/01/2023	7	0,6	1,1	0,5	3	0,3	17	27	23	52	40
21/01/2023	6	0,6	0,9	0,4	3	0,3	8	15	23	27	49
22/01/2023	4	0,3	0,6	0,3	3	0,2	2	6	11	9	70
23/01/2023	9	1,1	1,1	0,6	3	0,4	21	27	25	59	36
24/01/2023	11	0,5	0,8	0,6	3	0,4	7	16	24	27	42
25/01/2023	13	0,9	1,5	0,8	3	0,4	14	23	33	45	34
