Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250047-València - Av. França
	
FECHA	PM2.5	Veloc.	Direc.	SO2	CO	NO	NO2	PM10	NOx	O3
	µg/m³	m/s	grados	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	17	0,9	358	4	0,1	2	11	24	14	28
02/01/2023	21	0,6	318	3	0,2	7	18	37	29	20
03/01/2023	26	0,5	19	3	0,2	11	22	40	40	17
04/01/2023	20	0,7	321	4	0,2	11	21	35	37	16
05/01/2023	21	0,7	241	4	0,2	8	22	31	34	18
06/01/2023	20	0,5	223	4	0,2	6	16	24	25	22
07/01/2023	14	1,8	240	4	0,2	2	9	20	12	37
08/01/2023	4	3,4	244	3	0,1	2	4	10	8	48
09/01/2023	4	2	282	3	0,1	3	14	12	18	36
10/01/2023	7	0,7	262	4	0,1	5	17	20	24	26
11/01/2023	8	0,9	281	4	0,2	6	18	22	28	17
12/01/2023	9	0,9	234	4	0,2	4	16	21	22	26
13/01/2023	14	0,7	237	4	0,2	9	21	40	34	16
14/01/2023	11	1,6	233	4	0,2	4	12	21	18	29
15/01/2023	7	2,6	247	4	0,2	2	4	19	7	40
16/01/2023	4	4,9	242	3	0,1	2	3	31	6	51
17/01/2023	3	5	260	3	0,1	2	4	39	7	62
18/01/2023	2	2,7	279	4	0,1	2	5	6	8	51
19/01/2023	3	3,3	263	4	0,2	2	3	8	6	50
20/01/2023	4	2,7	275	4	0,1	3	10	18	15	46
21/01/2023	4	3,1	353	4	0,2	3	6	15	10	49
22/01/2023	3	1,8	313	4	0,2	2	2	6	5	60
23/01/2023	7	1	350	3	0,2	7	12	24	24	36
24/01/2023	9	1,4	13	3	0,2	2	8	21	12	36
25/01/2023	10	1,6	332	3	0,2	5	15	32	23	30
26/01/2023	11	1,7	226	3	0,1	13	17	28	37	28
27/01/2023	9	1,3	212	3	0,1	5	18	22	27	28
28/01/2023	7	1,3	289	3	0,1	4	10	14	17	41
29/01/2023	7	1	344	3	0,1	2	5	11	8	39
