Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250050-València - Bulevard Sud
	
FECHA	NH3	As	Pb	BaP	Cd	SO2	NO	NO2	PM10	Ni	NOx	O3	FA	DahA	IcdP	BkFA	BjFA	BbFA	BaA
	µg/m³N	ng/m³N	µg/m³	ng/m³N	ng/m³N	µg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N
01/01/2023	5			0,43		6	10	23	27		38	21	0,2	0,1	0,37	0,4	0,24	0,52	0,17
02/01/2023	8	0,42	0,01		0,15	5	18	29	34	2,36	56	16							
03/01/2023	9					5	24	28	39		66	16							
04/01/2023	7	0,53	0,01		0,43	5	22	27	26	1,99	61	15							
05/01/2023	6			0,62		6	16	25	27		50	15	0,23	0,04	0,44	0,45	0,2	0,46	0,27
06/01/2023	6					6	15	24	26		47	18							
07/01/2023	6					6	8	11	20		23	34							
08/01/2023	8	0,05	0,01		0,03	4	3	5	7	1,01	9	51							
09/01/2023	6			0,18		4	15	25	15		47	32	0,15	0,04	0,12	0,14	0,04	0,14	0,12
10/01/2023	4	0,05	0,01		0,13	5	11	26	17	1,85	43	25							
11/01/2023	5	0,05	0,01		0,07	5	9	22	17	1,85	35	20							
12/01/2023	5	0,11	0,01		0,13	6	14	27	22	2,68	49	16							
13/01/2023	5			0,3		6	31	33	30		80	13	0,33	0,04	0,35	0,43	0,2	0,51	0,27
14/01/2023	6	0,05	0,01		0,07	6	5	15	17	0,88	22	24							
15/01/2023	5					5	2	5	13		7	43							
16/01/2023	4	0,19	0,01		0,03	5	1	4	14	1,45	6								
17/01/2023	5					5	2	6	11		8								
18/01/2023	2	0,06	0,01		0,06	5	2	11	6	0,61	13								
19/01/2023	2					6	1	6	7		8								
20/01/2023	3	0,06	0,01		0,06	5	17	26	17	1,31	52	41							
21/01/2023	3			0,18		6	7	15	18		26	43	0,43	0,04	0,24	0,28	0,13	0,29	0,16
22/01/2023	2	0,06	0,01		0,04	5	1	5	9	0,75	6								
23/01/2023	2					4	15	29	22		51	28							
24/01/2023	3	0,14	0,01		0,06	3			14	1,08		35							
25/01/2023	3					3	11	31	18		48	28							
26/01/2023	3	0,28	0,01		0,21	3	21	32	22	1,92	63	28							
27/01/2023	4					3	20	33	18		63	27							
28/01/2023	4	0,14	0,01		0,11	3	9	21	15	1,22	34	43							
29/01/2023	4			0,11		3	3	13	17		18	44	0,16	0,04	0,18	0,18	0,09	0,21	0,09
30/01/2023	6	0,28	0,01		0,24	3	18	31	27	2,75	58	24							
31/01/2023	6					3	32	36	24		85	20							
01/02/2023	6	0,42	0,01		0,32	3	25	36	29	4,84	74	25							
02/02/2023	6					3	24	38	36		74	25							
03/02/2023	6	0,56	0,01		0,14	3	19	38	32	2,75	66	27							
04/02/2023	5					3	16	40	27		64	24							
05/02/2023	6	0,28	0,01		0,26	3	10	29	30	2,2	43	31							
06/02/2023	7			0,19		3	6	18	27		26	44	0,17	0,04	0,33	0,33	0,17	0,36	0,13
07/02/2023	7	0,28	0,01		0,07	3	13	26	22	1,15	46	40							
08/02/2023	7	0,28	0,01		0,04	3	6	18	10	0,6	27	50							
09/02/2023	6	0,28	0,01		0,04	3	7	20	18	1,02	32	61							
10/02/2023	5					3	28	37	27		79	24							
11/02/2023	5	0,28	0,01		0,11	3	11	31	23	2,55	48	40							
12/02/2023	5					3	8	29	20		41	43							
13/02/2023	5	0,42	0,01		0,29	3	15	33	31	4,31	56	36							
14/02/2023	6			0,12		3	14	30	24		51	48	0,14	0,04	0,19	0,22	0,12	0,27	0,25
15/02/2023	6	0,56	0,01		0,11	3	20	33	22	2,23	63	46							
16/02/2023	6					3	18	38	25		66	27							
17/02/2023	5	0,56	0,01		0,22	3	22	37	29	2,36	71	28							
18/02/2023	6					3	11	34	30		51	34							
19/02/2023	7	0,42	0,01		0,33	3	11	31	33	1,95	47	30							
20/02/2023	8					3	30	52	51		98	14							
21/02/2023	8	1,11	0,01		0,53	3	30	53	43	4,03	99	12							
22/02/2023	10			0,25		5	35	38	46		91	23	0,22	0,04	0,38	0,47	0,24	0,57	0,19
23/02/2023	9	0,7	0,01		0,24	3	13	29	46	3,76	49	31							
24/02/2023	5					3	9	26	12		40	40							
25/02/2023	5	0,14	0,01		0,06	3	4	16	12	1,81	23	52							
26/02/2023	4					3	3	8	16		13	70							
27/02/2023		0,28	0,01		0,06	3	3	15	19	2,17	20	73							
28/02/2023		0,42	0,01		0,11	3	7	42	17	1,47	51	56							
01/03/2023		0,14	0,01		0,19	3	4	37	16	1,06	43	62							
02/03/2023				0,33		3	10	56	27		71	52	0,44	0,04	0,32	0,36	0,21	0,48	0,24
03/03/2023		0,28	0,01		0,17	5	12	34	28	2,03	51	63							
04/03/2023						7	5	22	30		28	70							
