Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250301-València Port Moll Trans. Ponent
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.máx.
	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s
01/01/2023	14	1,6	296	12,7	77	1026	82	0	5	0,1	1	6	20	8	35	2,3
02/01/2023	17	1,3	220	13,1	83	1026	70	0	5	0,1	12	21	31	39	22	1,9
03/01/2023	20	1	273	14,3	87	1032	63	0	5	0,2	21	32	33	64	17	1,5
04/01/2023	15	1,4	238	13,2	83	1035	104	0	4	0,2	18	26	26	53	16	2,1
05/01/2023	16	1,7	204	11,6	81	1031	105	0	2	0,2	8	18	25	30	22	2,4
06/01/2023	16	1,3	187	11,1	76	1027	107	0	2	0,2	4	11	20	17	26	1,8
07/01/2023	11	3	215	12,8	66	1023	110	0	2	0,1	3	5	17	9	44	4,6
08/01/2023	3	4,2	212	18,1	64	1017	35	0	3	0,1	4	6	8	11	57	6,8
09/01/2023	4	2,9	245	17,5	66	1021	101	0	3	0,1	7	15	11	25	46	4,6
10/01/2023	7	1,6	217	14,1	66	1029	110	0	4	0,1	22	20	23	54	26	2,5
11/01/2023	8	1,7	218	14,6	69	1027	93	0	4	0,1	15	15	19	38	20	2,6
12/01/2023	8	2,2	198	12,7	72	1030	112	0	4	0,1	19	11	19	39	29	3,1
13/01/2023	11	1,5	202	12,5	61	1028	97	0	3	0,2	16	13	28	37	14	2,1
14/01/2023	9	2,4	194	12,7	67	1027	114	0	3	0,1	6	9	14	19	34	3,4
15/01/2023	5	4,1	226	13,9	55	1021	97	0	4	0,1	2	2	12	4	49	6,4
16/01/2023	4	5,6	220	13	57	1013	89	0	4	0,1	3	2	18	6	61	9,3
17/01/2023	3	6,7	243	15,2	55	1001	115	0,8	5	0,1	3	2	16	6	76	12,1
18/01/2023	2	4,2	253	10,6	42	1008	114	0	4	0,1	5	7	5	14	64	7
19/01/2023	2	4,6	238	10,7	45	1017	105	0	3	0,1	7	7	7	17	60	7,7
20/01/2023	3	3,2	238	13,4	52	1018	118	0	4	0,1	15	23	11	46	50	5,3
21/01/2023	4	2,9	310	10,3	44	1021	128	0	3	0,1	4	7	9	13	63	5
22/01/2023	2	2,5	266	9,1	31	1023	131	0	2	0,1	3	6	5	9	68	4,2
23/01/2023	6	1,7	247	8,2	44	1023	118	0	4	0,2	37	32	17	88	42	2,7
24/01/2023	7	1,9	328	7,8	53	1027	129	0	4	0,1	9	15	13	28	45	2,9
25/01/2023	9	2,2	288	9,7	55	1026	86	0	2	0,2	24	28	22	65	37	3,4
26/01/2023	9	1,8	192	8,6	57	1018	131	0	3	0,2	41	36	18	98	31	2,5
27/01/2023	8	1,7	186	8,1	54	1016	135	0	5	0,2	20	33	19	63	37	2,6
28/01/2023	5	1,9	219	8,2	53	1020	136	0	3	0,1	6	16	10	24	57	3
29/01/2023	6	1,7	312	7,6	67	1027	47	3,8	2	0,1	2	8	11	11	55	2,6
30/01/2023	9	2	220	8,5	72	1030	140	0	1	0,3	22	28	17	62	36	3,1
31/01/2023	13	1,5	217	9	67	1029	143	0	3	0,2	23	34	23	69	34	2,2
01/02/2023	16	1,4	185	9,2	70	1031	141	0	3	0,3	29	46	30	90	28	2,1
