Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250050-València - Bulevard Sud
	
FECHA	SO2	NO	NO2	PM10	Ni	NOx	O3	As	Pb	BaP	Cd	FA	DahA	IcdP	BkFA	BjFA	BbFA	BaA
	µg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	µg/m³	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N
01/01/2025	4	6	12	18	2,14	21	21	0,28	0,01		0,07							
02/01/2025	4	18	15	28		43	14			0,09		0,04	0,04	0,15	0,09	0,04	0,14	0,09
03/01/2025	4	14	13	21		34	29											
04/01/2025	3	5	10	17		17	43											
05/01/2025	3	5	9	30	1,31	17	49	0,42	0,01		0,07							
06/01/2025	3	5	10	22		17	41			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
07/01/2025	4	5	8	23	0,61	16	45	0,14	0,01		0,01							
08/01/2025	3	2	5	19	0,47	8	56	0,14	0,01		0,03							
09/01/2025	3	4	7	22	0,75	13	50	0,14	0,01		0,01							
10/01/2025	3	2	5			8	44											
11/01/2025	3	3	7	21	0,92	12	50	0,14	0,01		0,01							
12/01/2025	3	2	8	28		11	63											
13/01/2025	4	4	14	31	1,06	20	30	0,28	0,01		0,43							
14/01/2025	4			38			26											
15/01/2025	4			50	1,75		18	1,25	0,01		0,35							
16/01/2025	4			30			35											
17/01/2025	4	4	11	19	0,5	17	42	0,14	0,01		0,06							
18/01/2025	4	10	13	30		28	27			0,13		0,08	0,04	0,27	0,19	0,12	0,23	0,13
19/01/2025	4	4	10	27	0,64	15	30	0,28	0,01		0,11							
20/01/2025	4	9	27	37		41	20											
21/01/2025	4	37	37	49	2,65	93	4	0,97	0,02		0,36							
22/01/2025	4	26	27	48		67	17											
23/01/2025	3	2	18	23	0,99	22	39	0,14	0,01		0,04							
24/01/2025	3	5	21	28		29	34											
25/01/2025	3	2	11	14	3,19	14	51	0,14	0,01		0,07							
26/01/2025	3	2	12	13		16	49			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
27/01/2025	3	2	10	24	0,83	14	51	0,14	0,01		0,03							
28/01/2025	3	2	9	15		13	71											
29/01/2025	3	2	13	20	0,56	17	55	0,14	0,01		0,03							
30/01/2025	3	3	17	18		21	54											
31/01/2025	3	3	24	23	1,61	29	47	0,28	0,01		0,08							
01/02/2025	4	2	22	18		25	34											
02/02/2025	4	4	18	15	0,36	24	38	0,28	0,01		0,07							
03/02/2025	4	12	34	29		52	21			0,43		0,2	0,04	0,66	0,59	0,37	0,91	0,36
04/02/2025	4	14	37	38	1,47	59	24	0,7	0,01		0,25							
05/02/2025	4	25	41	41	2,87	79	18	1,25	0,01		0,19							
06/02/2025	4	20	39	39	2,31	69	25	0,83	0,01		0,33							
07/02/2025	4	15	31	32		54	35											
08/02/2025	3	3	23	13	2,31	28	44	0,28	0,01		0,08							
09/02/2025	3	3	26	16		30	33											
10/02/2025	4	10	30			45	37											
11/02/2025	3	17	32	29		58	39			0,19		0,09	0,04	0,26	0,22	0,04	0,29	0,16
12/02/2025	3	8	34			47	28											
13/02/2025	3	5	32	26		40	30											
14/02/2025	3	18	44			70	21											
15/02/2025	3	8	32	34		44	33											
16/02/2025	3	3	24			28	40											
17/02/2025	4	24	33	41		70	39											
18/02/2025	3	3	35	37		41	52			0,04		0,04	0,04	0,04	0,07	0,04	0,09	0,04
19/02/2025	3	17	46	48	3,76	71	32	0,69	0,01		0,14							
20/02/2025	3	3	37	32	7,65	42	45	0,42	0,01		0,21							
21/02/2025	3	3	34	36		38	57											
22/02/2025	3	4	31	26	1,82	37	38	1,11	0,14		0,1							
23/02/2025	3	5	30	21		39	40											
24/02/2025	3	10	33	22	0,71	48	32	0,28	0,01		0,06							
25/02/2025	3	3	28	18	0,71	33	43	0,28	0,01		0,06							
26/02/2025	3	5	35	21		43	45			0,04		0,04	0,04	0,1	0,04	0,04	0,12	0,04
27/02/2025	4	19	48	39	2,1	77	28	0,56	0,01		0,15							
28/02/2025	3	7	35	47	1,82	46	51	0,28	0,01		0,07							
01/03/2025	3	2	21	26		24	66											
02/03/2025	4	2	14	21	0,71	18	66	0,28	0,02		0,04							
03/03/2025	3	3	25	38		30	63											
04/03/2025	3	2	19	31	1,12	22	70	0,28	0,01		0,04							
05/03/2025	3	2	16	27		19	77											
06/03/2025	3	2	18	36	0,61	22	74	0,14	0,01		0,06							
07/03/2025	3	9	43	27		56	45			0,04		0,04	0,04	0,04	0,04	0,04	0,1	0,04
08/03/2025	3	2	34	31	3,25	38	58	0,28	0,01		0,07							
09/03/2025	3	2	14	6		17	76											
10/03/2025	3	4	30	13	0,75	37	53	0,14	0,01		0,11							
11/03/2025	3	7	28	10		39	63			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
12/03/2025	3	5	24	13	0,47	33	61	0,14	0,01		0,03							
13/03/2025	3	12	54	22	1,17	73	34	0,28	0,01		0,08							
14/03/2025	3	10	51	14	0,19	66	32	0,42	0,01		0,07							
15/03/2025	4	3	30	16		36	52			0,04		0,04	0,04	0,17	0,11	0,04	0,22	0,04
16/03/2025	3	6	40	25	0,33	49	36	0,42	0,01		0,06							
17/03/2025	3	8	45	21		58	34											
18/03/2025	3	2	30	12	0,68	33	55	0,28	0,01		0,04							
19/03/2025	3	1	15	42		18	74											
20/03/2025	3	2	16	65	2,49	19	75	0,42	0,01		0,39							
21/03/2025	3	9	32	36		47	44											
22/03/2025	3	1	7	7	0,4	9	70	0,05	0,01		0,03							
23/03/2025	3	1	9	11		11	70			0,18		0,04	0,04	0,09	0,07	0,04	0,15	0,04
24/03/2025	3			23	1,21		50	0,28	0,01		0,32							
25/03/2025	3						38											
26/03/2025	3			28	2,04		42	0,28	0,01		0,11							
27/03/2025	3						55											
28/03/2025	3			36	1,76		44	0,42	0,01		0,49							
29/03/2025	3						85											
30/03/2025	3			24	0,93		60	0,14	0,01		0,06							
31/03/2025	3			39			47			0,2		0,04	0,04	0,13	0,07	0,04	0,16	0,04
01/04/2025	3			34	1,07		73	0,14	0,01		0,03							
02/04/2025	3	2	35	27		37	75											
03/04/2025	3	2	18	34	1,08	20	83	0,28	0,01		0,03							
04/04/2025	3			26			69											
05/04/2025	3			13	5,11		54	0,14	0,01		0,01							
06/04/2025	3			18			53											
07/04/2025	3			27														
08/04/2025	3			31						0,04		0,04	0,04	0,09	0,04	0,04	0,1	0,04
09/04/2025	3	7	17	33	3,17	27	70	0,42	0,01		0,11							
10/04/2025	3	4	17	27		23	71											
11/04/2025	3	2	11	27	1,78	15	81	0,42	0,01		0,08							
12/04/2025	3	2	16	29		18	55											
13/04/2025	3	4	16	30	3,58	21	52	0,56	0,01		0,1							
14/04/2025	3	6	21	30		31	60											
15/04/2025	3	1	5	14	0,17	5	82	0,14	0,01		0,01							
16/04/2025	3	2	8	13		10	78			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
17/04/2025	3	2	11	19	0,86	13	75	0,14	0,01		0,04							
18/04/2025	3	1	14	17	1,28	15	57	0,14	0,01		0,04							
19/04/2025	3	1	6	10	0,17	6	75	0,05	0,01		0,01							
20/04/2025	3	1	10	9		10	75											
21/04/2025	3	1	7	13	1	7	70	0,14	0,01		0,03							
22/04/2025	3	10	24	19		39	42											
23/04/2025	3	6	16	21	1,14	24	55	0,42	0,01		0,06							
24/04/2025	3	8	19	30		30	54			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
25/04/2025	3	11	21			37	56											
26/04/2025	3	3	17	22		20	55											
27/04/2025	3	1	6			7	81											
28/04/2025	3	2	16			18												
29/04/2025	3	5	14			22												
30/04/2025	3	2	8	33		10	74											
01/05/2025	3	1	5			5	82											
02/05/2025	3	1	8	34		9	79			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
05/05/2025	4	2	12			14	62											
06/05/2025	3	2	9	20		11	82											
07/05/2025	4	3	14			17	78											
08/05/2025	3	3	21	24		25	54											
09/05/2025	4	6	17			25	50											
10/05/2025	4	1	9	23		10	62			0,04		0,04	0,04	0,04	0,04	0,04	0,04	0,04
11/05/2025	3	1	6			6	63											
12/05/2025	3	4	15	27		20	63											
13/05/2025	3	5	17			23	64											
