Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250301-València Port Moll Trans. Ponent
	
FECHA	PM2.5	Precip.	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.máx.
	µg/m³	l/m²	m/s	grados	°C	% H.R.	mb	W/m²	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s
01/01/2025	9	8	1,5	295	11,2	89	1045	46	4	0,3	5	19	13	26	35	2,3
02/01/2025	8	0	2,2	213	11,6	72	1042	110	1	0,2	30	35	19	81	18	3,2
03/01/2025	6	0	2,6	214	13,2	54	1037	88	1	0,1	14	34	22	55	27	3,8
04/01/2025	6	0	2,8	210	14,2	53	1035	100	1	0,1	6	17	14	27	43	4
05/01/2025	9	0	3,1	194	13,4	58	1028	77	1	0,1	8	20	19	33	40	4,6
06/01/2025	4	0	2,7	230	14,4	53	1023	60	1	0,1	3	12	12	17	50	4,3
07/01/2025	4	0	3,6	215	12,5	51	1034	114	1	0,1	11	19	16	36	43	5,6
08/01/2025	4	0	4,1	212	15,2	50	1033	99	1	0,1	10	17	15	31	46	6,3
09/01/2025	4	0	3,8	214	16,9	56	1035	108	2	0,1	21	23	14	55	38	6
10/01/2025	4	0	4,1	228	16,2	57	1038	101	1	0,1	8	17	11	29	37	6,3
11/01/2025	2	0	3,8	259	18,4	49	1037	93	1	0,1	5	8	8	16	51	6,5
12/01/2025	3	0	3,4	52	15,1	47	1040	120	1	0,1	2	4	12	7	65	6
13/01/2025	6	0	2,1	302	10,7	49	1044	122	1	0,1	9	22	20	35	46	3,3
14/01/2025	7	0	1,8	245	9,2	46	1045	123	3	0,2	15	37	22	59	32	2,8
15/01/2025	15	0	1,7	211	8,2	56	1041	110	3	0,3	29	46	35	90	22	2,5
16/01/2025	11	14,6	3,5	333	9,4	66	1040	103	1	0,2	14	21	29	42	42	5,6
17/01/2025	13	8	5	348	10,2	75	1043	24	1	0,1	8	11	35	23	48	8,2
18/01/2025	8	0	1,9	243	11	60	1040	124	1	0,2	16	29	19	54	31	3,1
19/01/2025	8	0	1,7	206	9,7	61	1036	124	1	0,2	15	26	14	49	32	2,5
20/01/2025	13	0	1,7	213	11,1	66	1033	82	4	0,2	23	45	37	80	18	2,6
21/01/2025	17	0,4	1,1	192	12,8	85	1029	61	4	0,3	59	51	31	141	10	1,7
22/01/2025	17	0	1,5	198	14,6	71	1026	101	2	0,2	46	40	44	110	15	2,3
23/01/2025	7	0	2,6	213	16,8	61	1030	111	1	0,1	24	31	23	68	29	3,8
24/01/2025	7	0	2,4	203	16	67	1034	129	4	0,1	45	36	22	106	26	3,7
25/01/2025	4	0	3	210	15,5	62	1032	68	3	0,1	12	16	12	34	43	4,6
26/01/2025	3	0	2,9	204	14,8	63	1034	96	1	0,1	8	13	6	25	46	4,4
27/01/2025	4	0	4,5	215	19,8	53	1025	95	1	0,1	14	12	23	34	44	8
28/01/2025	2	0	5,4	246	14,3	47	1032	117	3	0,1	9	8	9	21	63	9,7
