Fecha;Estacion;Año;PM10;PM2.5;NO2;O3;SO2;sub_PM10;sub_PM2.5;sub_NO2;sub_O3;sub_SO2;ICA_diario;Categoria_ICA
2015-01-01;Avda. Francia;2015;10;9;39;30;3;1;1;1;1;1;1;Buena
2015-01-02;Avda. Francia;2015;10.0713182725841;8.50178567360865;59;17;5;1;1;2;1;1;2;Razonablemente buena
2015-01-03;Avda. Francia;2015;10;8;58;14;3;1;1;2;1;1;2;Razonablemente buena
2015-01-04;Avda. Francia;2015;10;8;45;22;3;1;1;2;1;1;2;Razonablemente buena
2015-01-05;Avda. Francia;2015;11;10;44;21;3;1;1;2;1;1;2;Razonablemente buena
2015-01-06;Avda. Francia;2015;15;13;39;20;4;1;2;1;1;1;2;Razonablemente buena
2015-01-07;Avda. Francia;2015;14;13;52;14;3;1;2;2;1;1;2;Razonablemente buena
2015-01-08;Avda. Francia;2015;17;15;49;14;4;1;2;2;1;1;2;Razonablemente buena
2015-01-09;Avda. Francia;2015;13;12;60;13;4;1;2;2;1;1;2;Razonablemente buena
2015-01-10;Avda. Francia;2015;10;9;59;16;3;1;1;2;1;1;2;Razonablemente buena
2015-01-11;Avda. Francia;2015;9;8;54;19;4;1;1;2;1;1;2;Razonablemente buena
2015-01-12;Avda. Francia;2015;9;8;54;18;3;1;1;2;1;1;2;Razonablemente buena
2015-01-13;Avda. Francia;2015;12;10;53;17;4;1;1;2;1;1;2;Razonablemente buena
2015-01-14;Avda. Francia;2015;10;9;45;25;3;1;1;2;1;1;2;Razonablemente buena
2015-01-15;Avda. Francia;2015;11;9;54;23;4;1;1;2;1;1;2;Razonablemente buena
2015-01-16;Avda. Francia;2015;6;5;37;39;3;1;1;1;1;1;1;Buena
2015-01-17;Avda. Francia;2015;6;5;27;47;3;1;1;1;1;1;1;Buena
2015-01-18;Avda. Francia;2015;7;6;34;38;4;1;1;1;1;1;1;Buena
2015-01-19;Avda. Francia;2015;7;6;42;19;3;1;1;2;1;1;2;Razonablemente buena
2015-01-20;Avda. Francia;2015;7;6;50;23;5;1;1;2;1;1;2;Razonablemente buena
2015-01-21;Avda. Francia;2015;7;6;39;28;4;1;1;1;1;1;1;Buena
2015-01-22;Avda. Francia;2015;5;5;34;43;3;1;1;1;1;1;1;Buena
2015-01-23;Avda. Francia;2015;5;4;35;48;3;1;1;1;1;1;1;Buena
2015-01-24;Avda. Francia;2015;6;5;39;40;5;1;1;1;1;1;1;Buena
2015-01-25;Avda. Francia;2015;5;4;39;51;3;1;1;1;2;1;2;Razonablemente buena
2015-01-26;Avda. Francia;2015;9;7;60;27;4;1;1;2;1;1;2;Razonablemente buena
2015-01-27;Avda. Francia;2015;9;7;40;36;5;1;1;1;1;1;1;Buena
2015-01-28;Avda. Francia;2015;8;7;47;36;6;1;1;2;1;1;2;Razonablemente buena
2015-01-29;Avda. Francia;2015;10;8;30;40;3;1;1;1;1;1;1;Buena
2015-01-30;Avda. Francia;2015;13;8;11;49;3;1;1;1;1;1;1;Buena
