Fecha;ICA_diario_avg;Temperatura;Velocidad.del.viento;Precipitacion;Radiacion.solar;NOx;PM10;O3
2015-01-01;1.8;9.8;2;0;101;76;15;28
2015-01-02;2.2;11.4;2;0;109;201;19.1592248903749;20
2015-01-03;2.2;14.1;2;0;111;178;21.4895696672525;17
2015-01-04;2;13.4;2.1;0;108;111;23.8199144441301;28
2015-01-05;2.4;10.4;2.2;0;106;153.648945493346;26.1502592210078;24
2015-01-06;3.4;9.6;1;0;97;163.986422497029;28.4806039978854;28
2015-01-07;3.2;10.5;1.9;0;67;210;37;22
2015-01-08;3.6;10.3;1.5;0;105;167;36;18
2015-01-09;2.6;11.9;1.8;0;113;226;36;16
2015-01-10;2.2;15.3;1.9;0;117;178;27;17
2015-01-11;2.2;14.9;2.3;0;110;144;20;16
2015-01-12;2.2;11.7;2.1;0;103;145;23;23.4701316249719
2015-01-13;2.8;12.8;1.8;0;109;153;30;28.2246931007986
2015-01-14;2.4;13.8;2;0;114;112;32;32.9792545766253
2015-01-15;2.6;14.8;2.4;0;109;164;45;33
2015-01-16;2;13.1;4.4;0;75;74;33;55
2015-01-17;1.4;10.1;3.5;0;120;71;17;58
2015-01-18;1.4;8.3;1.2;1.4;82;62;12;49
2015-01-19;1.6;7.5;1.2;5.2;20;108;8;32
2015-01-20;1.8;7.5;1.7;0;103;133;33;28
2015-01-21;1.4;8.4;3.8;0;101;72;34;37
2015-01-22;1.4;9.5;3.8;0;102;73;24;55
2015-01-23;1.8;11;4.4;0;131;72;20;65
2015-01-24;1.6;11.3;4;0;129;68;23;51
2015-01-25;2;13.8;3.5;0;134;87;16;60
2015-01-26;2.2;10.3;1.5;0;135;174;36;31
2015-01-27;2;12.3;3.5;0;126;103;61;46.9591767141619
2015-01-28;2;11.5;2.4;0;139;128;48;51.6630980968154
2015-01-29;2.4;13.8;5.7;0;107;56;63;56.3670194794689
2015-01-30;3.2;17.7;15.2;5.8;127;18;87;61
2015-01-31;2;13.3;7.7;2.4;130;31;13;70
2015-02-01;2;10.2;6.9;0;137;22;8;70
2015-02-02;1.6;9.5;4.7;0;94;45;24;49
2015-02-03;2;11.9;6.4;0.2;144;35;26.3179983257796;63
2015-02-04;2;7.2;4.8;0;84;55.2341881118058;25.8922063717001;69
2015-02-05;2.2;7.4;6.4;0;134;61.759377971339;25.4664144176205;69
